month,fuel_type,number
2016-01-01,Conventional Fuel Vehicles,6965
2016-01-01,Alternative Fuel Vehicles,107
2016-02-01,Conventional Fuel Vehicles,5649
2016-02-01,Alternative Fuel Vehicles,85
2016-03-01,Conventional Fuel Vehicles,6955
2016-03-01,Alternative Fuel Vehicles,151
2016-04-01,Conventional Fuel Vehicles,7055
2016-04-01,Alternative Fuel Vehicles,133
2016-05-01,Conventional Fuel Vehicles,8059
2016-05-01,Alternative Fuel Vehicles,153
2016-06-01,Conventional Fuel Vehicles,7884
2016-06-01,Alternative Fuel Vehicles,227
2016-07-01,Conventional Fuel Vehicles,6722
2016-07-01,Alternative Fuel Vehicles,192
2016-08-01,Conventional Fuel Vehicles,6819
2016-08-01,Alternative Fuel Vehicles,312
2016-09-01,Conventional Fuel Vehicles,7434
2016-09-01,Alternative Fuel Vehicles,510
2016-10-01,Conventional Fuel Vehicles,7030
2016-10-01,Alternative Fuel Vehicles,779
2016-11-01,Conventional Fuel Vehicles,6593
2016-11-01,Alternative Fuel Vehicles,901
2016-12-01,Conventional Fuel Vehicles,6331
2016-12-01,Alternative Fuel Vehicles,458
2017-01-01,Conventional Fuel Vehicles,6736
2017-01-01,Alternative Fuel Vehicles,803
2017-02-01,Conventional Fuel Vehicles,5764
2017-02-01,Alternative Fuel Vehicles,395
2017-03-01,Conventional Fuel Vehicles,7849
2017-03-01,Alternative Fuel Vehicles,768
2017-04-01,Conventional Fuel Vehicles,6260
2017-04-01,Alternative Fuel Vehicles,540
2017-05-01,Conventional Fuel Vehicles,7628
2017-05-01,Alternative Fuel Vehicles,790
2017-06-01,Conventional Fuel Vehicles,7239
2017-06-01,Alternative Fuel Vehicles,1011
2017-07-01,Conventional Fuel Vehicles,6209
2017-07-01,Alternative Fuel Vehicles,1324
2017-08-01,Conventional Fuel Vehicles,6352
2017-08-01,Alternative Fuel Vehicles,1372
2017-09-01,Conventional Fuel Vehicles,5358
2017-09-01,Alternative Fuel Vehicles,551
2017-10-01,Conventional Fuel Vehicles,6206
2017-10-01,Alternative Fuel Vehicles,952
2017-11-01,Conventional Fuel Vehicles,6716
2017-11-01,Alternative Fuel Vehicles,967
2017-12-01,Conventional Fuel Vehicles,7995
2017-12-01,Alternative Fuel Vehicles,2137
2018-01-01,Conventional Fuel Vehicles,5444
2018-01-01,Alternative Fuel Vehicles,134
2018-02-01,Conventional Fuel Vehicles,4955
2018-02-01,Alternative Fuel Vehicles,263
2018-03-01,Conventional Fuel Vehicles,6664
2018-03-01,Alternative Fuel Vehicles,337
2018-04-01,Conventional Fuel Vehicles,6345
2018-04-01,Alternative Fuel Vehicles,631
2018-05-01,Conventional Fuel Vehicles,6710
2018-05-01,Alternative Fuel Vehicles,710
2018-06-01,Conventional Fuel Vehicles,8859
2018-06-01,Alternative Fuel Vehicles,1605
2018-07-01,Conventional Fuel Vehicles,4901
2018-07-01,Alternative Fuel Vehicles,373
2018-08-01,Conventional Fuel Vehicles,5444
2018-08-01,Alternative Fuel Vehicles,497
2018-09-01,Conventional Fuel Vehicles,5503
2018-09-01,Alternative Fuel Vehicles,674
2018-10-01,Conventional Fuel Vehicles,5915
2018-10-01,Alternative Fuel Vehicles,844
2018-11-01,Conventional Fuel Vehicles,6147
2018-11-01,Alternative Fuel Vehicles,622
2018-12-01,Conventional Fuel Vehicles,5834
2018-12-01,Alternative Fuel Vehicles,870
2019-01-01,Conventional Fuel Vehicles,7062
2019-01-01,Alternative Fuel Vehicles,1195
2019-02-01,Conventional Fuel Vehicles,4484
2019-02-01,Alternative Fuel Vehicles,526
2019-03-01,Conventional Fuel Vehicles,6477
2019-03-01,Alternative Fuel Vehicles,762
2019-04-01,Conventional Fuel Vehicles,6241
2019-04-01,Alternative Fuel Vehicles,655
2019-05-01,Conventional Fuel Vehicles,5649
2019-05-01,Alternative Fuel Vehicles,659
2019-06-01,Conventional Fuel Vehicles,5435
2019-06-01,Alternative Fuel Vehicles,723
2019-07-01,Conventional Fuel Vehicles,5944
2019-07-01,Alternative Fuel Vehicles,1046
2019-08-01,Conventional Fuel Vehicles,4239
2019-08-01,Alternative Fuel Vehicles,860
2019-09-01,Conventional Fuel Vehicles,4624
2019-09-01,Alternative Fuel Vehicles,953
2019-10-01,Conventional Fuel Vehicles,4185
2019-10-01,Alternative Fuel Vehicles,839
2019-11-01,Conventional Fuel Vehicles,4319
2019-11-01,Alternative Fuel Vehicles,756
2019-12-01,Conventional Fuel Vehicles,3915
2019-12-01,Alternative Fuel Vehicles,796
2020-01-01,Conventional Fuel Vehicles,4251
2020-01-01,Alternative Fuel Vehicles,778
2020-02-01,Conventional Fuel Vehicles,3937
2020-02-01,Alternative Fuel Vehicles,732
2020-03-01,Conventional Fuel Vehicles,4157
2020-03-01,Alternative Fuel Vehicles,844
2020-04-01,Conventional Fuel Vehicles,561
2020-04-01,Alternative Fuel Vehicles,121
2020-05-01,Conventional Fuel Vehicles,31
2020-05-01,Alternative Fuel Vehicles,17
2020-06-01,Conventional Fuel Vehicles,918
2020-06-01,Alternative Fuel Vehicles,146
2020-07-01,Conventional Fuel Vehicles,4118
2020-07-01,Alternative Fuel Vehicles,707
2020-08-01,Conventional Fuel Vehicles,4381
2020-08-01,Alternative Fuel Vehicles,799
2020-09-01,Conventional Fuel Vehicles,3733
2020-09-01,Alternative Fuel Vehicles,833
2020-10-01,Conventional Fuel Vehicles,3837
2020-10-01,Alternative Fuel Vehicles,913
2020-11-01,Conventional Fuel Vehicles,3890
2020-11-01,Alternative Fuel Vehicles,825
2020-12-01,Conventional Fuel Vehicles,3286
2020-12-01,Alternative Fuel Vehicles,650
2021-01-01,Conventional Fuel Vehicles,3711
2021-01-01,Alternative Fuel Vehicles,1573
2021-02-01,Conventional Fuel Vehicles,2693
2021-02-01,Alternative Fuel Vehicles,955
2021-03-01,Conventional Fuel Vehicles,3314
2021-03-01,Alternative Fuel Vehicles,1286
2021-04-01,Conventional Fuel Vehicles,2778
2021-04-01,Alternative Fuel Vehicles,1272
2021-05-01,Conventional Fuel Vehicles,2631
2021-05-01,Alternative Fuel Vehicles,1135
2021-06-01,Conventional Fuel Vehicles,3119
2021-06-01,Alternative Fuel Vehicles,1310
2021-07-01,Conventional Fuel Vehicles,2172
2021-07-01,Alternative Fuel Vehicles,1274
2021-08-01,Conventional Fuel Vehicles,2181
2021-08-01,Alternative Fuel Vehicles,1324
2021-09-01,Conventional Fuel Vehicles,2251
2021-09-01,Alternative Fuel Vehicles,1650
2021-10-01,Conventional Fuel Vehicles,1837
2021-10-01,Alternative Fuel Vehicles,1109
2021-11-01,Conventional Fuel Vehicles,1725
2021-11-01,Alternative Fuel Vehicles,1240
2021-12-01,Conventional Fuel Vehicles,1736
2021-12-01,Alternative Fuel Vehicles,1166
2022-01-01,Conventional Fuel Vehicles,1801
2022-01-01,Alternative Fuel Vehicles,1163
2022-02-01,Conventional Fuel Vehicles,1296
2022-02-01,Alternative Fuel Vehicles,975
2022-03-01,Conventional Fuel Vehicles,1369
2022-03-01,Alternative Fuel Vehicles,1258
2022-04-01,Conventional Fuel Vehicles,1190
2022-04-01,Alternative Fuel Vehicles,1311
2022-05-01,Conventional Fuel Vehicles,1485
2022-05-01,Alternative Fuel Vehicles,1462
2022-06-01,Conventional Fuel Vehicles,1501
2022-06-01,Alternative Fuel Vehicles,1756
2022-07-01,Conventional Fuel Vehicles,1181
2022-07-01,Alternative Fuel Vehicles,1348
2022-08-01,Conventional Fuel Vehicles,1280
2022-08-01,Alternative Fuel Vehicles,1094
2022-09-01,Conventional Fuel Vehicles,1137
2022-09-01,Alternative Fuel Vehicles,1220
2022-10-01,Conventional Fuel Vehicles,969
2022-10-01,Alternative Fuel Vehicles,1427
2022-11-01,Conventional Fuel Vehicles,1012
2022-11-01,Alternative Fuel Vehicles,1297
2022-12-01,Conventional Fuel Vehicles,1031
2022-12-01,Alternative Fuel Vehicles,1376
2023-01-01,Conventional Fuel Vehicles,823
2023-01-01,Alternative Fuel Vehicles,1065
2023-02-01,Conventional Fuel Vehicles,958
2023-02-01,Alternative Fuel Vehicles,1178
2023-03-01,Conventional Fuel Vehicles,1147
2023-03-01,Alternative Fuel Vehicles,1322
2023-04-01,Conventional Fuel Vehicles,988
2023-04-01,Alternative Fuel Vehicles,1197
2023-05-01,Conventional Fuel Vehicles,848
2023-05-01,Alternative Fuel Vehicles,1366
2023-06-01,Conventional Fuel Vehicles,936
2023-06-01,Alternative Fuel Vehicles,1396
2023-07-01,Conventional Fuel Vehicles,787
2023-07-01,Alternative Fuel Vehicles,1595
2023-08-01,Conventional Fuel Vehicles,796
2023-08-01,Alternative Fuel Vehicles,1745
2023-09-01,Conventional Fuel Vehicles,727
2023-09-01,Alternative Fuel Vehicles,1684
2023-10-01,Conventional Fuel Vehicles,741
2023-10-01,Alternative Fuel Vehicles,1611
2023-11-01,Conventional Fuel Vehicles,661
2023-11-01,Alternative Fuel Vehicles,1880
2023-12-01,Conventional Fuel Vehicles,1214
2023-12-01,Alternative Fuel Vehicles,3560
2024-01-01,Conventional Fuel Vehicles,503
2024-01-01,Alternative Fuel Vehicles,1737
2024-02-01,Conventional Fuel Vehicles,515
2024-02-01,Alternative Fuel Vehicles,1899
2024-03-01,Conventional Fuel Vehicles,579
2024-03-01,Alternative Fuel Vehicles,2929
2024-04-01,Conventional Fuel Vehicles,665
2024-04-01,Alternative Fuel Vehicles,2787
2024-05-01,Conventional Fuel Vehicles,552
2024-05-01,Alternative Fuel Vehicles,2636
2024-06-01,Conventional Fuel Vehicles,724
2024-06-01,Alternative Fuel Vehicles,3050
2024-07-01,Conventional Fuel Vehicles,734
2024-07-01,Alternative Fuel Vehicles,3183
2024-08-01,Conventional Fuel Vehicles,760
2024-08-01,Alternative Fuel Vehicles,3189
2024-09-01,Conventional Fuel Vehicles,719
2024-09-01,Alternative Fuel Vehicles,3406
2024-10-01,Conventional Fuel Vehicles,611
2024-10-01,Alternative Fuel Vehicles,2796
2024-11-01,Conventional Fuel Vehicles,643
2024-11-01,Alternative Fuel Vehicles,2963
2024-12-01,Conventional Fuel Vehicles,701
2024-12-01,Alternative Fuel Vehicles,4741
2025-01-01,Conventional Fuel Vehicles,434
2025-01-01,Alternative Fuel Vehicles,2269
2025-02-01,Conventional Fuel Vehicles,693
2025-02-01,Alternative Fuel Vehicles,3185
2025-03-01,Conventional Fuel Vehicles,747
2025-03-01,Alternative Fuel Vehicles,3586
2025-04-01,Conventional Fuel Vehicles,683
2025-04-01,Alternative Fuel Vehicles,3266
2025-05-01,Conventional Fuel Vehicles,640
2025-05-01,Alternative Fuel Vehicles,3815
2025-06-01,Conventional Fuel Vehicles,678
2025-06-01,Alternative Fuel Vehicles,3961
2025-07-01,Conventional Fuel Vehicles,699
2025-07-01,Alternative Fuel Vehicles,3927
